Company,Sector,SubSector,Industry,Ticker,FSS Score,FSS Weekly Change,Total Articles,Negative Articles,Z-Score,Receivables to Revenue,Debt to EBITDA,_ebitda,_totalDebt,Quick Ratio,S&P Issuer Credit Rating,Market Capitalization,Current Open Price,52-Week High Price,52-Week Low Price
"Sky Constant Century, Inc.",Financial Services,Securities & Trading,Commodity Contracts Brokering/Dealing,SKYC,0.2421011111111111,-3.0555555555555554,2.0,50.0,227302933.8442,0.2797,-0.0,-0.00319,0.0,2.83243,,220695992.16,1.68,1.68,1.68
"Atlantis Glory, Inc.",Healthcare,Healthcare Services,Healthcare Provision,AGLY,0.5904555555555556,-1.5633333333333337,1.0,100.0,,,-4.9773,-0.0392,0.19511,0.0,,10267490.0,0.017,0.017,0.017
"QDM International, Inc.",Healthcare,Healthcare Services,Healthcare Provision,QDMI,0.2666988888888889,-0.8877777777777779,6.0,83.33,80444141.7378,0.2031,0.0,5.94759,0.0,5.79104,,250449394.0,29.0,29.0,29.0
PS International Group Ltd.,Media & Entertainment,Sports,Freight Transport/Logistics,PSIG,0.8217888888888889,-0.0366666666666666,23.0,73.91,4512714.3583,0.1603,-0.0,-5.21472,0.0,1.76389,,105175752.48,6.69,7.0,6.65
Black Box Entertainment Ltd.,Retail,E-commerce,Etailing,BBOE,,,,,7953162.3277,0.1777,,,0.0008,0.74342,,13822455.0,1.0,1.0,1.0
Vobile Group Ltd.,Software & Technology,Software,Security/Privacy Software,3738,0.1916888888888888,4.3533333333333335,22.0,45.45,324557.4755,0.5856,2.5376,401.273,1018.275,1.75181,,983701846.216341,0.47,0.47,0.47
ReNew Energy Global Plc,Energy,Renewables,Renewable Energy Generation,RNW,0.2116388888888888,-0.8111111111111111,192.0,41.67,1455.1306,0.2205,9.9624,73504.0,732277.0,0.58145,,2053273343.72,5.6,5.765,5.6
Dole Plc,Consumer Goods,Food & Beverage,Fruit Growing,DOLE,0.0515422222222222,-0.7333333333333333,211.0,28.44,286442.8031,0.0877,2.7241,318.303,867.093,0.83138,,1447454250.45,14.46,15.29,14.31
Medtronic Plc,Healthcare,Medical Devices,Medical Equipment/Supplies,MDT,0.17839,-0.5555555555555556,1265.0,43.24,1315296.9735,0.1943,2.9526,9658.0,28516.0,1.42387,,95700785216.56,76.25,76.5,74.41
"AppYea, Inc.",Software & Technology,Software,Mobile Applications Software,APYP,0.2564311111111111,-4.257777777777777,33.0,66.67,1752563.8059,1.0,-2.3583,-1.79999,4.245,0.06483,,13182988.1712,0.0148,0.0148,0.0148
Valens Semiconductor Ltd.,Software & Technology,Hardware & Semiconductors,Semiconductors,VLN,0.1682066666666666,-3.308888888888889,96.0,39.58,6110862.0482,0.134,-0.0,-39.705,0.0,7.07212,,300084195.0,2.77,2.895,2.64
"Dror Ortho-Design, Inc.",Software & Technology,Software,Games Software,DROR,0.1477266666666666,0.2033333333333334,13.0,53.85,3696583.1171,,-0.0,-5.04374,0.0,0.70426,,6350481.254,0.0065,0.0065,0.0065
