CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
"1stdibs.com, Inc.",OSTDCI,Retail,Department & Discount,Mixed Retailing,USA,DIBS,A,L,129622619,100.0,"1stdibs.Com, Inc.",United States
"IAC, Inc.",SILKI,Retail,E-commerce,E-commerce,USA,IAC,A,L,654692030,100.0,IAC Inc.,United States
"BARK, Inc.",VOAFJF,Retail,Specialty Retail,Pets/Pet Supplies Retailing,USA,BARK,A,L,145722736,100.0,"BARK, Inc.",United States
"Bubblr, Inc.",CACHFD,Retail,Wholesale & Distribution,Computers/Electronic Equipment Wholesalers,USA,BBLR,A,L,636793314,100.0,Bubblr Inc.,United States
"Optimus Healthcare Services, Inc.",MCSNFN,Retail,Specialty Retail,Marijuana Retailing,USA,OHCS,A,L,699789661,100.0,"Optimus Healthcare Services, Inc.",United States
The Cato Corp.,CTO,Retail,Clothing & Fashion Retail,Clothing Retail,USA,CATO,A,L,258697,100.0,The Cato Corporation,United States
"Peoplesway.com, Inc.",PSREGY,Retail,Other Retail,Pharmacies/Drugstores,USA,PLWY,A,L,3175323,100.0,Peoplesway.com Inc.,United States
"Sonic Automotive, Inc.",SNTMTV,Retail,Auto Retail,Motor Vehicle Dealing,USA,SAH,A,L,370122,100.0,"Sonic Automotive, Inc.",United States
"Lowes Companies, Inc.",LOWCO,Retail,Specialty Retail,Decorating/DIY/Hardware Retailing,USA,LOW,A,L,180871,100.0,"Lowe's Companies, Inc.",United States
"Advance Auto Parts, Inc.",ADVPTS,Retail,Auto Retail,Automotive Parts/Tire Retailing,USA,AAP,A,L,24333,100.0,"Advance Auto Parts, Inc.",United States
"Titan Machinery, Inc.",TITMAI,Retail,Auto Retail,Motor Vehicle Dealing,USA,TITN,A,L,4497349,100.0,Titan Machinery Inc.,United States
The Kroger Co.,KROGR,Retail,Grocery & Food Retail,Supermarkets/Grocery Retailing,USA,KR,A,L,284342,100.0,The Kroger Co.,United States
Hillman Solutions Corp.,VHDWPZ,Retail,E-commerce,Household Goods Retailing,USA,HLMN,A,L,278350761,100.0,Hillman Solutions Corp.,United States
"Applied Industrial Technologies, Inc.",BER,Retail,Wholesale & Distribution,Machinery/Industrial Goods Wholesalers,USA,AIT,A,L,254679,100.0,"Applied Industrial Technologies, Inc.",United States
The Sherwin-Williams Co.,SHRWNW,Retail,Specialty Retail,Decorating/DIY/Hardware Retailing,USA,SHW,A,L,303104,100.0,The Sherwin-Williams Company,United States
"Bath & Body Works, Inc.",LTDI,Retail,Clothing & Fashion Retail,Cosmetics/Perfume Retailing,USA,BBWI,A,L,285544,100.0,"Bath & Body Works, Inc.",United States
"Designer Brands, Inc.",SHONCO,Retail,Clothing & Fashion Retail,Shoe Retailing,USA,DBI,A,L,318523,100.0,Designer Brands Inc.,United States
"Cardinal Health, Inc.",CDIST,Retail,Wholesale & Distribution,Pharmaceutical/Medical Products Wholesalers,USA,CAH,A,L,172207,100.0,"Cardinal Health, Inc.",United States
"Arhaus, Inc.",HMWRKI,Retail,E-commerce,Furniture/Home Furnishings Retailing,USA,ARHS,A,L,1684295272,100.0,"Arhaus, Inc.",United States
Abercrombie & Fitch Co.,ABERFT,Retail,Clothing & Fashion Retail,Clothing Retail,USA,ANF,A,L,353867,100.0,Abercrombie & Fitch Co.,United States
"Diebold Nixdorf, Inc.",DIBLD,Retail,Specialty Retail,Automatic Vending Machines,USA,DBD,A,L,266767,100.0,"Diebold Nixdorf, Incorporated",United States
Victorias Secret & Co.,VICSS,Retail,Clothing & Fashion Retail,Clothing Retail,USA,VSCO,A,L,714532508,100.0,Victoria's Secret & Co.,United States
Educational Development Corp.,EDDEV,Retail,Wholesale & Distribution,Wholesalers,USA,EDUC,A,L,268454,100.0,Educational Development Corporation,United States
"Fact, Inc.",VGMIMT,Retail,Wholesale & Distribution,Machinery/Industrial Goods Wholesalers,USA,FCTI,A,L,555750085,100.0,"Fact, Inc.",Canada
"Health Advance, Inc.",LZHPPU,Retail,Specialty Retail,Specialty Retailing,USA,HADV,A,L,141207227,100.0,Health Advance Inc.,United States
"BranchOut Food, Inc.",HFNYOD,Retail,Grocery & Food Retail,Food/Beverage Wholesalers,USA,BOF,A,L,1826832549,100.0,BranchOut Food Inc.,United States
"Lithia Motors, Inc.",LITHMO,Retail,Auto Retail,Motor Vehicle Dealing,USA,LAD,A,L,355432,100.0,"Lithia Motors, Inc.",United States
"Tasty Fries, Inc.",ADLHLD,Retail,Specialty Retail,Automatic Vending Machines,USA,TFRY,A,L,377010,100.0,"Tasty Fries, Inc.",United States
"Cencora, Inc.",ALCHS,Retail,Wholesale & Distribution,Pharmaceutical/Medical Products Wholesalers,USA,COR,A,L,24809,100.0,"Cencora, Inc.",United States
"Dicks Sporting Goods, Inc.",DKSPTS,Retail,Specialty Retail,Sporting Goods Retailing,USA,DKS,A,L,27561,100.0,"DICK'S Sporting Goods, Inc.",United States
"Ollies Bargain Outlet Holdings, Inc.",OLLBOI,Retail,Department & Discount,Mixed Retailing,USA,OLLI,A,L,301580992,100.0,"Ollie's Bargain Outlet Holdings, Inc.",United States
"DriveItAway Holdings, Inc.",BTWOPK,Retail,Auto Retail,Motor Vehicle Dealing,USA,DWAY,A,L,1680037333,100.0,"DriveItAway Holdings, Inc.",United States
"Five Below, Inc.",FBELOI,Retail,Department & Discount,Discount Goods Retailing,USA,FIVE,A,L,11464323,100.0,"Five Below, Inc.",United States
"Urban Outfitters, Inc.",URBANO,Retail,Clothing & Fashion Retail,Clothing Retail,USA,URBN,A,L,330706,100.0,"Urban Outfitters, Inc.",United States
"American Eagle Outfitters, Inc.",EAGOUT,Retail,Clothing & Fashion Retail,Clothing Retail,USA,AEO,A,L,332273,100.0,"American Eagle Outfitters, Inc.",United States
"Weis Markets, Inc.",WEISMK,Retail,Grocery & Food Retail,Supermarkets/Grocery Retailing,USA,WMK,A,L,313573,100.0,"Weis Markets, Inc.",United States
"Blubuzzard, Inc.",AMBUSP,Retail,Auto Retail,Automotive Parts/Tire Retailing,USA,BZRD,A,L,9575700,100.0,"Blubuzzard, Inc.",United States
"United Natural Foods, Inc.",UNNATF,Retail,Grocery & Food Retail,Food/Beverage Wholesalers,USA,UNFI,A,L,365303,100.0,"United Natural Foods, Inc.",United States
CVS Health Corp.,MVILLE,Retail,Other Retail,Pharmacies/Drugstores,USA,CVS,A,L,93625,100.0,CVS Health Corporation,United States
Jubilant Flame International Ltd.,LBYVOB,Retail,Wholesale & Distribution,Wholesalers,USA,JFIL,A,L,129780923,100.0,"Jubilant Flame International, Ltd.",China
Bell Buckle Holdings Incorporated,MTVINC,Retail,Grocery & Food Retail,Supermarkets/Grocery Retailing,USA,BLLB,A,L,3565494,100.0,"Bell Buckle Holdings, Inc.",United States
Auction Mills Inc,ACTNML,Retail,E-commerce,Online Auctions,USA,AUNM,A,L,10626016,100.0,Auction Mills Inc.,United States
U C  Inc,SYTGIS,Retail,Other Retail,Pharmacies/Drugstores,USA,SMMR,A,L,34160414,100.0,U C Inc.,United States
Tractor Supply Co.,TRACSU,Retail,Specialty Retail,Specialty Retailing,USA,TSCO,A,L,329501,100.0,Tractor Supply Company,United States
Dollar General Corp.,DOLR,Retail,Department & Discount,Discount Goods Retailing,USA,DG,A,L,266974,100.0,Dollar General Corporation,United States
"AutoZone, Inc.",ATZONE,Retail,Auto Retail,Automotive Parts/Tire Retailing,USA,AZO,A,L,25307,100.0,"AutoZone, Inc.",United States
Endocan Corp.,CSSCAP,Retail,Specialty Retail,Marijuana Retailing,USA,ENDO,A,L,4876542,100.0,Thermic Sciences International,United States
"Genesco, Inc.",GSCO,Retail,Clothing & Fashion Retail,Shoe Retailing,USA,GCO,A,L,274846,100.0,Genesco Inc.,United States
Azure Holding Group Corp.,ZURHZZ,Retail,Auto Retail,Motor Vehicle Dealing,USA,AZRH,A,L,113812180,100.0,Azure Holding Group Corp.,United States
"Copart, Inc.",COPINC,Retail,E-commerce,Online Auctions,USA,CPRT,A,L,27023,100.0,"Copart, Inc.",United States
Sunoco LP,SUSSPZ,Retail,Wholesale & Distribution,Wholesalers,USA,SUN,A,L,20522974,100.0,Sunoco LP,United States
