CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
"Bowhead Specialty Holdings, Inc.",DMKZTK,Real Estate,Other Real Estate,Property/Casualty Insurance,USA,BOW,A,L,1877970871,100.0,Bowhead Specialty Holdings Inc.,United States
"DVL, Inc. (Delaware)",DVL,Real Estate,Mortgage & Finance,Mortgage Banks/Real Estate Credit,USA,DVLN,A,L,266268,100.0,"DVL, Inc.",United States
"Empire State Realty Trust, Inc.",ESXRLT,Real Estate,REITs,Industrial/Office REITs,USA,ESRT,A,L,170205476,100.0,"Empire State Realty Trust, Inc.",United States
Net Lease Office Properties,FDNCOY,Real Estate,Commercial Real Estate,Office Real Estate,USA,NLOP,A,L,1856825577,100.0,Net Lease Office Properties,United States
"Lument Finance Trust, Inc.",FOICZZ,Real Estate,REITs,Mortgage REITs,USA,LFT,A,L,207324105,100.0,"Lument Finance Trust, Inc.",United States
"KKR Real Estate Finance Trust, Inc.",KKRREA,Real Estate,REITs,Mortgage REITs,USA,KREF,A,L,283154866,100.0,KKR Real Estate Finance Trust Inc.,United States
Seritage Growth Properties,KMYNEE,Real Estate,REITs,Retail REITs,USA,SRG,A,L,290103394,100.0,Seritage Growth Properties,United States
Ladder Capital Corp.,LDDRCP,Real Estate,Mortgage & Finance,Mortgage Banks/Real Estate Credit,USA,LADR,A,L,216667093,100.0,Ladder Capital Corp,United States
"Apollo Commercial Real Estate Finance, Inc.",LLCREF,Real Estate,REITs,Mortgage REITs,USA,ARI,A,L,61106447,100.0,"Apollo Commercial Real Estate Finance, Inc.",United States
Loews Corp.,LOEW,Real Estate,Other Real Estate,Property/Casualty Insurance,USA,L,A,L,285930,100.0,Loews Corporation,United States
"Merchants National Properties, Inc.",MCNTPP,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,MNPP,A,L,3170019,100.0,"Merchants' National Properties, Inc.",United States
"Newmark Group, Inc.",NACRE,Real Estate,Commercial Real Estate,Office Real Estate,USA,NMRK,A,L,171030416,100.0,"Newmark Group, Inc.",United States
"Claros Mortgage Trust, Inc.",NNUSGL,Real Estate,REITs,Mortgage REITs,USA,CMTG,A,L,325192855,100.0,"Claros Mortgage Trust, Inc.",United States
"NorthStar Healthcare Income, Inc.",NOHEII,Real Estate,REITs,Healthcare REITs,USA,NHHS,A,L,116234145,100.0,"NorthStar Healthcare Income, Inc.",United States
Rithm Capital Corp.,NWRVCZ,Real Estate,REITs,Mortgage REITs,USA,RITM,A,L,225838735,100.0,Rithm Capital Corp.,United States
Getty Realty Corp.,POWT,Real Estate,REITs,Retail REITs,USA,GTY,A,L,275201,100.0,Getty Realty Corp.,United States
SL Green Realty Corp.,SLGRRC,Real Estate,REITs,Industrial/Office REITs,USA,SLG,A,L,364744,100.0,SL Green Realty Corp.,United States
Urban Edge Properties,UEIJRJ,Real Estate,REITs,Retail REITs,USA,UE,A,L,278421761,100.0,Urban Edge Properties,United States
"Compass, Inc. (New York)",URCMIU,Real Estate,Real Estate Services,Real Estate Agents/Brokers,USA,COMP,A,L,224953563,100.0,"Compass, Inc.",United States
"TPG RE Finance Trust, Inc.",URMDNH,Real Estate,REITs,Mortgage REITs,USA,TRTX,A,L,283453025,100.0,"TPG RE Finance Trust, Inc.",United States
Vornado Realty Trust,VNO,Real Estate,REITs,Diversified REITs,USA,VNO,A,L,312648,100.0,Vornado Realty Trust,United States
"VICI Properties, Inc.",VWZOFF,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,VICI,A,L,430871960,100.0,VICI Properties Inc.,United States
"Granite Point Mortgage Trust, Inc.",WEDAZF,Real Estate,REITs,Mortgage REITs,USA,GPMT,A,L,431961933,100.0,Granite Point Mortgage Trust Inc.,United States
"WeWork, Inc.",WEWRKN,Real Estate,Commercial Real Estate,Office Real Estate,USA,WWOK,A,L,133839089,100.0,WeWork Inc.,United States
Ready Capital Corp.,ZFCZZZ,Real Estate,REITs,Mortgage REITs,USA,RC,A,L,59235375,100.0,Ready Capital Corporation,United States
Tuxis Corp.,BLBEAR,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,TUXS,A,L,6158717,100.0,Tuxis Corporation,United States
Acadia Realty Trust,MARKC,Real Estate,REITs,Retail REITs,USA,AKR,A,L,333191,100.0,Acadia Realty Trust,United States
Gyrodyne LLC,GYDYNE,Real Estate,REITs,Industrial/Office REITs,USA,GYRO,A,L,276456,100.0,"Gyrodyne, LLC",United States
"Arbor Realty Trust, Inc.",ARBRRL,Real Estate,REITs,Mortgage REITs,USA,ABR,A,L,6207506,100.0,"Arbor Realty Trust, Inc.",United States
ACRES Commercial Realty Corp.,RESOCZ,Real Estate,REITs,Mortgage REITs,USA,ACR,A,L,20448255,100.0,ACRES Commercial Realty Corp.,United States
"Broadstone Net Lease, Inc.",BIJMTU,Real Estate,REITs,Diversified REITs,USA,BNL,A,L,62454807,100.0,"Broadstone Net Lease, Inc.",United States
"Fathom Holdings, Inc.",OIQZJO,Real Estate,Real Estate Services,Real Estate Agents/Brokers,USA,FTHM,A,L,589080953,100.0,Fathom Holdings Inc.,United States
"LendingTree, Inc.",LENDTR,Real Estate,Mortgage & Finance,Mortgage Banks/Real Estate Credit,USA,TREE,A,L,91183,100.0,"LendingTree, Inc.",United States
"Tanger, Inc.",TANGFO,Real Estate,REITs,Retail REITs,USA,SKT,A,L,326382,100.0,Tanger Inc.,United States
"Orpheum Property, Inc.",PLAACC,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,PLFF,A,L,109138969,100.0,"Orpheum Property, Inc.",United States
"Manufactured Housing Properties, Inc.",FRSTFF,Real Estate,Residential Real Estate,Residential Property Dealing/Owning,USA,MHPC,A,L,540729819,100.0,Manufactured Housing Properties Inc.,United States
"Highwoods Properties, Inc.",HIPROP,Real Estate,REITs,Industrial/Office REITs,USA,HIW,A,L,332500,100.0,"Highwoods Properties, Inc.",United States
"NI Holdings, Inc.",ZOILWT,Real Estate,Other Real Estate,Property/Casualty Insurance,USA,NODK,A,L,381013111,100.0,"NI Holdings, Inc.",United States
Centerspace,IREALE,Real Estate,REITs,Residential REITs,USA,CSR,A,L,392530,100.0,Centerspace,United States
SITE Centers Corp.,DEVDRL,Real Estate,REITs,Retail REITs,USA,SITC,A,L,323746,100.0,SITE Centers Corp.,United States
"Phillips Edison & Co., Inc.",PEDACL,Real Estate,Commercial Real Estate,Retail Real Estate,USA,PECO,A,L,84223462,100.0,"Phillips Edison & Company, Inc.",United States
Cincinnati Financial Corp.,CINFIN,Real Estate,Other Real Estate,Property/Casualty Insurance,USA,CINF,A,L,260681,100.0,Cincinnati Financial Corporation,United States
"Welltower, Inc.",HCFDS,Real Estate,REITs,Healthcare REITs,USA,WELL,A,L,277914,100.0,Welltower Inc.,United States
"Global Condiments, Incorporated",GCNDIU,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,ANCE,A,L,184537163,100.0,"Restance, Inc.",United States
Blue Ridge Real Estate Co.,BLRGU,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,BRRE,A,L,255467,100.0,Blue Ridge Real Estate Company,United States
Universal Health Realty Income Trust,UHRIT,Real Estate,REITs,Healthcare REITs,USA,UHT,A,L,311316,100.0,Universal Health Realty Income Trust,United States
CubeSmart,USTRTR,Real Estate,REITs,Specialty REITs,USA,CUBE,A,L,4485863,100.0,CubeSmart,United States
"Independence Realty Trust, Inc.",INDRZZ,Real Estate,REITs,Residential REITs,USA,IRT,A,L,60414062,100.0,"Independence Realty Trust, Inc.",United States
Brandywine Realty Trust,LINP,Real Estate,REITs,Industrial/Office REITs,USA,BDN,A,L,285663,100.0,Brandywine Realty Trust,United States
"Gaming & Leisure Properties, Inc.",GMGLPI,Real Estate,REITs,Specialty REITs,USA,GLPI,A,L,224325923,100.0,"Gaming and Leisure Properties, Inc.",United States
American Strategic Investment Co.,ARCNYC,Real Estate,REITs,Industrial/Office REITs,USA,NYC,A,L,257513374,100.0,American Strategic Investment Co.,United States
"Capital Properties, Inc. (Rhode Island)",CAPIPS,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,CPTP,A,L,362674,100.0,"Capital Properties, Inc.",United States
"CBL & Associates Properties, Inc.",CBLASP,Real Estate,REITs,Retail REITs,USA,CBL,A,L,327735,100.0,"CBL & Associates Properties, Inc.",United States
"Community Healthcare Trust, Inc.",XCHTIJ,Real Estate,REITs,Healthcare REITs,USA,CHCT,A,L,288219415,100.0,Community Healthcare Trust Incorporated,United States
"Mid-America Apartment Communities, Inc.",MIDAAP,Real Estate,REITs,Residential REITs,USA,MAA,A,L,332358,100.0,"Mid-America Apartment Communities, Inc.",United States
"National Health Investors, Inc.",NATHIV,Real Estate,REITs,Healthcare REITs,USA,NHI,A,L,320908,100.0,"National Health Investors, Inc.",United States
"LIG Assets, Inc.",LGASST,Real Estate,Residential Real Estate,Residential Property Dealing/Owning,USA,LIGA,A,L,53962594,100.0,"LIG Assets, Inc.",United States
"Ryman Hospitality Properties, Inc.",OKPUB,Real Estate,REITs,Hospitality REITs,USA,RHP,A,L,320269,100.0,"Ryman Hospitality Properties, Inc.",United States
"Forestar Group, Inc.",FGERT,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,FOR,A,L,7910540,100.0,Forestar Group Inc.,United States
"Stratus Properties, Inc.",FMPO,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,STRS,A,L,331490,100.0,Stratus Properties Inc.,United States
"Summit Hotel Properties, Inc.",SUHPLL,Real Estate,REITs,Hospitality REITs,USA,INN,A,L,13639172,100.0,"Summit Hotel Properties, Inc.",United States
"Braemar Hotels & Resorts, Inc.",AFHZP,Real Estate,REITs,Hospitality REITs,USA,BHR,A,L,241785161,100.0,Braemar Hotels & Resorts Inc.,United States
"American Realty Investors, Inc.",ART,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,ARL,A,L,250607,100.0,"American Realty Investors, Inc.",United States
"Ashford Hospitality Trust, Inc.",ASHHSP,Real Estate,REITs,Hospitality REITs,USA,AHT,A,L,5647906,100.0,"Ashford Hospitality Trust, Inc.",United States
"CBRE Group, Inc.",COLDB,Real Estate,Commercial Real Estate,Office Real Estate,USA,CBRE,A,L,4204816,100.0,"CBRE Group, Inc.",United States
"Digital Realty Trust, Inc.",DGRLTR,Real Estate,REITs,Industrial/Office REITs,USA,DLR,A,L,11041860,100.0,"Digital Realty Trust, Inc.",United States
"Invitation Homes, Inc.",IHMSLP,Real Estate,Residential Real Estate,Residential Property Dealing/Owning,USA,INVH,A,L,415395909,100.0,Invitation Homes Inc.,United States
"Transcontinental Realty Investors, Inc.",JOHCON,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,TCI,A,L,309316,100.0,"Transcontinental Realty Investors, Inc.",United States
"NexPoint Real Estate Finance, Inc.",LYGWKD,Real Estate,REITs,Mortgage REITs,USA,NREF,A,L,650039473,100.0,"NexPoint Real Estate Finance, Inc.",United States
Creative Media & Community Trust Corp.,PMCCMT,Real Estate,REITs,Industrial/Office REITs,USA,CMCT,A,L,242588185,100.0,Creative Media & Community Trust Corporation,United States
"NexPoint Residential Trust, Inc.",QRIQOW,Real Estate,REITs,Residential REITs,USA,NXRT,A,L,273532939,100.0,"NexPoint Residential Trust, Inc.",United States
NetSTREIT Corp.,VEKLDF,Real Estate,REITs,Retail REITs,USA,NTST,A,L,647754084,100.0,NETSTREIT Corp.,United States
Camden Property Trust,CAMDPR,Real Estate,REITs,Residential REITs,USA,CPT,A,L,329202,100.0,Camden Property Trust,United States
"Crown Castle, Inc.",CRWCAS,Real Estate,REITs,Specialty REITs,USA,CCI,A,L,27198,100.0,Crown Castle Inc.,United States
"Silver Star Properties REIT, Inc.",HSTIP,Real Estate,REITs,Real Estate Investment Trusts,USA,SLVS,A,L,49900373,100.0,"Silver Star Properties REIT, Inc.",United States
Whitestone REIT,WHREIT,Real Estate,REITs,Diversified REITs,USA,WSR,A,L,7653809,100.0,Whitestone REIT,United States
